platform_name,platform_key,period_start,period_end,days_missing,gap_category
Shopee,2,2023-12-24,2024-02-23,62,More than Month
Shopee,2,2024-02-25,2024-04-11,47,More than Month
Shopee,2,2024-05-31,2024-07-16,47,More than Month
Shopee,2,2021-10-14,2021-11-19,37,More than Month
Lazada,1,2022-12-07,2023-01-10,35,More than Month
Shopee,2,2024-07-18,2024-08-17,31,More than Month
Shopee,2,2024-09-20,2024-10-20,31,More than Month
Shopee,2,2024-04-13,2024-05-13,31,More than Month
Shopee,2,2022-11-03,2022-11-29,27,Month or Less
Shopee,2,2020-10-21,2020-11-10,21,Month or Less
Shopee,2,2022-12-29,2023-01-14,17,Month or Less
Shopee,2,2024-05-15,2024-05-29,15,Month or Less
Shopee,2,2024-09-04,2024-09-18,15,Month or Less
Shopee,2,2021-11-29,2021-12-13,15,Month or Less
Shopee,2,2023-11-05,2023-11-19,15,Month or Less
Shopee,2,2023-11-21,2023-12-05,15,Month or Less
Shopee,2,2023-12-07,2023-12-21,15,Month or Less
Shopee,2,2024-10-22,2024-11-05,15,Month or Less
Shopee,2,2024-11-07,2024-11-21,15,Month or Less
Shopee,2,2024-11-23,2024-12-07,15,Month or Less
Shopee,2,2024-12-09,2024-12-23,15,Month or Less
Shopee,2,2024-08-20,2024-09-02,14,Month or Less
Shopee,2,2020-09-20,2020-10-03,14,Month or Less
Shopee,2,2021-09-26,2021-10-09,14,Month or Less
Shopee,2,2020-11-24,2020-12-05,12,Month or Less
Shopee,2,2022-05-26,2022-06-05,11,Month or Less
Shopee,2,2023-09-15,2023-09-25,11,Month or Less
Shopee,2,2021-07-27,2021-08-06,11,Month or Less
Shopee,2,2022-02-19,2022-02-28,10,Month or Less
Shopee,2,2021-12-15,2021-12-24,10,Month or Less
Shopee,2,2023-04-09,2023-04-18,10,Month or Less
Shopee,2,2023-08-18,2023-08-27,10,Month or Less
Shopee,2,2023-05-18,2023-05-27,10,Month or Less
Shopee,2,2021-05-12,2021-05-21,10,Month or Less
Shopee,2,2021-08-12,2021-08-20,9,Month or Less
Shopee,2,2022-10-01,2022-10-09,9,Month or Less
Shopee,2,2022-09-16,2022-09-24,9,Month or Less
Shopee,2,2022-04-11,2022-04-19,9,Month or Less
Shopee,2,2023-06-12,2023-06-20,9,Month or Less
Shopee,2,2024-12-27,2025-01-04,9,Month or Less
Shopee,2,2023-07-06,2023-07-14,9,Month or Less
Shopee,2,2021-07-16,2021-07-24,9,Month or Less
Shopee,2,2022-03-05,2022-03-12,8,Month or Less
Shopee,2,2022-06-27,2022-07-04,8,Month or Less
Shopee,2,2022-07-29,2022-08-05,8,Month or Less
Shopee,2,2021-08-25,2021-08-31,7,Week or Less
Shopee,2,2022-07-13,2022-07-19,7,Week or Less
Shopee,2,2021-01-25,2021-01-31,7,Week or Less
Shopee,2,2023-08-09,2023-08-15,7,Week or Less
Shopee,2,2023-03-30,2023-04-04,6,Week or Less
Shopee,2,2023-03-19,2023-03-24,6,Week or Less
Shopee,2,2022-12-07,2022-12-12,6,Week or Less
Shopee,2,2023-09-02,2023-09-07,6,Week or Less
Shopee,2,2020-12-07,2020-12-12,6,Week or Less
Shopee,2,2020-11-18,2020-11-22,5,Week or Less
Shopee,2,2020-11-12,2020-11-16,5,Week or Less
Shopee,2,2021-01-13,2021-01-17,5,Week or Less
Shopee,2,2023-10-30,2023-11-03,5,Week or Less
Shopee,2,2025-01-31,2025-02-04,5,Week or Less
Shopee,2,2025-01-10,2025-01-14,5,Week or Less
Lazada,1,2022-10-12,2022-10-16,5,Week or Less
Shopee,2,2023-07-23,2023-07-27,5,Week or Less
Shopee,2,2021-06-25,2021-06-28,4,Week or Less
Shopee,2,2023-10-11,2023-10-14,4,Week or Less
Shopee,2,2020-12-26,2020-12-29,4,Week or Less
Shopee,2,2022-01-05,2022-01-08,4,Week or Less
Shopee,2,2025-02-22,2025-02-25,4,Week or Less
Shopee,2,2022-04-25,2022-04-28,4,Week or Less
Shopee,2,2022-12-21,2022-12-24,4,Week or Less
Shopee,2,2023-07-16,2023-07-19,4,Week or Less
Shopee,2,2021-03-11,2021-03-13,3,Week or Less
Lazada,1,2022-10-06,2022-10-08,3,Week or Less
Shopee,2,2021-04-05,2021-04-07,3,Week or Less
Shopee,2,2022-03-29,2022-03-31,3,Week or Less
Shopee,2,2022-04-06,2022-04-08,3,Week or Less
Shopee,2,2021-09-12,2021-09-14,3,Week or Less
Shopee,2,2022-07-22,2022-07-24,3,Week or Less
Shopee,2,2023-10-07,2023-10-09,3,Week or Less
Shopee,2,2023-01-22,2023-01-24,3,Week or Less
Shopee,2,2021-02-20,2021-02-22,3,Week or Less
Shopee,2,2023-02-06,2023-02-08,3,Week or Less
Shopee,2,2022-01-31,2022-02-01,2,Week or Less
Shopee,2,2021-09-04,2021-09-05,2,Week or Less
Shopee,2,2025-03-07,2025-03-08,2,Week or Less
Shopee,2,2025-01-07,2025-01-08,2,Week or Less
Shopee,2,2023-09-10,2023-09-11,2,Week or Less
Shopee,2,2023-07-01,2023-07-02,2,Week or Less
Shopee,2,2021-01-21,2021-01-22,2,Week or Less
Lazada,1,2023-01-12,2023-01-13,2,Week or Less
Shopee,2,2021-03-17,2021-03-18,2,Week or Less
Shopee,2,2021-02-27,2021-02-28,2,Week or Less
Shopee,2,2021-03-30,2021-03-31,2,Week or Less
Shopee,2,2021-02-13,2021-02-14,2,Week or Less
Shopee,2,2021-04-30,2021-05-01,2,Week or Less
Shopee,2,2021-02-24,2021-02-25,2,Week or Less
Shopee,2,2025-02-08,2025-02-09,2,Week or Less
Shopee,2,2023-10-25,2023-10-26,2,Week or Less
Shopee,2,2023-10-17,2023-10-18,2,Week or Less
Shopee,2,2022-08-14,2022-08-15,2,Week or Less
Shopee,2,2022-09-28,2022-09-29,2,Week or Less
Shopee,2,2022-03-23,2022-03-24,2,Week or Less
Shopee,2,2022-10-28,2022-10-29,2,Week or Less
Shopee,2,2020-12-31,2021-01-01,2,Week or Less
Shopee,2,2022-05-23,2022-05-24,2,Week or Less
Shopee,2,2022-05-08,2022-05-09,2,Week or Less
Shopee,2,2021-04-18,2021-04-19,2,Week or Less
Shopee,2,2021-04-02,2021-04-03,2,Week or Less
Shopee,2,2020-10-15,2020-10-16,2,Week or Less
Shopee,2,2020-10-18,2020-10-19,2,Week or Less
Shopee,2,2021-01-06,2021-01-07,2,Week or Less
Shopee,2,2021-01-09,2021-01-10,2,Week or Less
Lazada,1,2022-11-10,2022-11-10,1,Single Day
Lazada,1,2022-11-15,2022-11-15,1,Single Day
Shopee,2,2020-10-09,2020-10-09,1,Single Day
Lazada,1,2022-11-07,2022-11-07,1,Single Day
Lazada,1,2022-10-26,2022-10-26,1,Single Day
Lazada,1,2022-10-10,2022-10-10,1,Single Day
Lazada,1,2022-10-31,2022-10-31,1,Single Day
Shopee,2,2021-03-24,2021-03-24,1,Single Day
Shopee,2,2021-03-26,2021-03-26,1,Single Day
Shopee,2,2021-03-28,2021-03-28,1,Single Day
Shopee,2,2021-02-11,2021-02-11,1,Single Day
Shopee,2,2020-10-12,2020-10-12,1,Single Day
Lazada,1,2023-01-21,2023-01-21,1,Single Day
Lazada,1,2023-04-03,2023-04-03,1,Single Day
Lazada,1,2023-04-18,2023-04-18,1,Single Day
Lazada,1,2023-05-02,2023-05-02,1,Single Day
Lazada,1,2024-03-22,2024-03-22,1,Single Day
Lazada,1,2024-09-20,2024-09-20,1,Single Day
Lazada,1,2023-01-15,2023-01-15,1,Single Day
Shopee,2,2020-12-24,2020-12-24,1,Single Day
Shopee,2,2020-12-20,2020-12-20,1,Single Day
Shopee,2,2020-12-16,2020-12-16,1,Single Day
Shopee,2,2020-12-14,2020-12-14,1,Single Day
Shopee,2,2020-12-22,2020-12-22,1,Single Day
Shopee,2,2021-01-04,2021-01-04,1,Single Day
Shopee,2,2021-01-19,2021-01-19,1,Single Day
Shopee,2,2021-08-09,2021-08-09,1,Single Day
Shopee,2,2021-07-08,2021-07-08,1,Single Day
Shopee,2,2021-06-06,2021-06-06,1,Single Day
Shopee,2,2021-06-22,2021-06-22,1,Single Day
Shopee,2,2021-04-23,2021-04-23,1,Single Day
Shopee,2,2021-04-21,2021-04-21,1,Single Day
Shopee,2,2021-05-05,2021-05-05,1,Single Day
Shopee,2,2021-02-07,2021-02-07,1,Single Day
Shopee,2,2021-03-02,2021-03-02,1,Single Day
Shopee,2,2021-02-05,2021-02-05,1,Single Day
Shopee,2,2021-03-08,2021-03-08,1,Single Day
Shopee,2,2021-03-05,2021-03-05,1,Single Day
Shopee,2,2021-03-22,2021-03-22,1,Single Day
Shopee,2,2022-08-12,2022-08-12,1,Single Day
Shopee,2,2022-07-11,2022-07-11,1,Single Day
Shopee,2,2022-07-27,2022-07-27,1,Single Day
Shopee,2,2022-02-17,2022-02-17,1,Single Day
Shopee,2,2022-01-16,2022-01-16,1,Single Day
Shopee,2,2022-04-22,2022-04-22,1,Single Day
Shopee,2,2022-03-21,2022-03-21,1,Single Day
Shopee,2,2021-09-18,2021-09-18,1,Single Day
Shopee,2,2021-09-10,2021-09-10,1,Single Day
Shopee,2,2021-12-31,2021-12-31,1,Single Day
Shopee,2,2021-10-12,2021-10-12,1,Single Day
Shopee,2,2022-05-18,2022-05-18,1,Single Day
Shopee,2,2022-05-02,2022-05-02,1,Single Day
Shopee,2,2022-06-09,2022-06-09,1,Single Day
Shopee,2,2022-06-25,2022-06-25,1,Single Day
Shopee,2,2022-08-28,2022-08-28,1,Single Day
Shopee,2,2022-09-13,2022-09-13,1,Single Day
Shopee,2,2022-10-15,2022-10-15,1,Single Day
Shopee,2,2022-10-31,2022-10-31,1,Single Day
Shopee,2,2023-03-12,2023-03-12,1,Single Day
Shopee,2,2023-03-08,2023-03-08,1,Single Day
Shopee,2,2023-02-27,2023-02-27,1,Single Day
Shopee,2,2023-02-20,2023-02-20,1,Single Day
Shopee,2,2023-02-04,2023-02-04,1,Single Day
Shopee,2,2022-12-02,2022-12-02,1,Single Day
Shopee,2,2022-12-18,2022-12-18,1,Single Day
Shopee,2,2023-01-19,2023-01-19,1,Single Day
Shopee,2,2022-12-15,2022-12-15,1,Single Day
Shopee,2,2023-05-11,2023-05-11,1,Single Day
Shopee,2,2023-04-25,2023-04-25,1,Single Day
Shopee,2,2023-04-22,2023-04-22,1,Single Day
Shopee,2,2023-06-28,2023-06-28,1,Single Day
Shopee,2,2023-07-30,2023-07-30,1,Single Day
Shopee,2,2023-08-01,2023-08-01,1,Single Day
Shopee,2,2023-08-07,2023-08-07,1,Single Day
Shopee,2,2023-08-31,2023-08-31,1,Single Day
Shopee,2,2023-10-02,2023-10-02,1,Single Day
Shopee,2,2023-03-26,2023-03-26,1,Single Day
Shopee,2,2025-01-20,2025-01-20,1,Single Day
Shopee,2,2025-01-24,2025-01-24,1,Single Day
Shopee,2,2025-01-26,2025-01-26,1,Single Day
Shopee,2,2025-02-17,2025-02-17,1,Single Day
Shopee,2,2025-02-27,2025-02-27,1,Single Day
Shopee,2,2025-03-13,2025-03-13,1,Single Day
Shopee,2,2025-03-29,2025-03-29,1,Single Day
Shopee,2,2025-04-04,2025-04-04,1,Single Day
Shopee,2,2025-04-14,2025-04-14,1,Single Day
Shopee,2,2025-04-16,2025-04-16,1,Single Day
Shopee,2,2025-05-19,2025-05-19,1,Single Day
Shopee,2,2025-07-22,2025-07-22,1,Single Day
Shopee,2,2025-09-24,2025-09-24,1,Single Day
